id,標題,說明,例題,問法
M70001,100以內的質數,認識質數與合數的定義與差異，能進行判別與分解質因數,請問 97 是不是質數？,什麼是質數？｜合數要怎麼判斷？｜為什麼 1 不是質數？
M70002,質因數分解與標準分解式,學會將整數寫成質因數乘積的形式，並找出最大公因數與最小公倍數,請將 180 分解成質因數並找出其最大公因數,什麼是質因數？｜怎麼找最大公因數？｜什麼是標準分解式？
M70003,負數與正數的四則混合運算,熟悉正負數的概念，能進行加減乘除運算,計算：(-3) + 5 × (-2) ÷ 2,正負數怎麼相減？｜負數乘以負數是正的嗎？｜什麼時候要先算？
M70004,數的運算規律,掌握交換律、結合律、分配律的運算性質，並能應用在化簡計算,驗證：(a + b) + c = a + (b + c),什麼是交換律？｜為什麼可以改變順序？｜分配律可以用在哪？
M70005,數線與絕對值的基本概念,認識數線並能比較數的大小，理解絕對值為到 0 的距離,請問 |-5| 等於多少？,什麼是絕對值？｜數線怎麼看大小？｜絕對值可以是負的嗎？
M70006,兩點距離的絕對值應用,以 |a-b| 表示兩點間距離，並能應用在基本問題中,小明住在 2 號，小華住在 -4 號，他們距離多少？,距離可以用絕對值表示嗎？｜怎麼算兩點之間的距離？
M70007,指數的定義與計算,了解指數代表重複乘法，掌握 a^0 = 1 等基本性質,請問 2^0 等於多少？為什麼？,什麼是指數？｜為什麼 a 的 0 次方是 1？｜指數怎麼計算？
M70008,同底數的乘除與乘方指數律,熟悉 a^m × a^n = a^(m+n)、(a^m)^n = a^(mn)、a^m ÷ a^n = a^(m-n),簡化：(2^3 × 2^4) ÷ 2^2,可以直接加減指數嗎？｜乘法和除法的指數怎麼變？｜為什麼乘方會變成乘法？
M70009,科學記號的表示與轉換,學會將大數與小數轉換為科學記號表示形式，如 1.2×10^3,請將 0.70056 寫成科學記號,什麼是科學記號？｜科學記號有什麼用？｜小數也能變成科學記號嗎？
M70010,比與比例的定義,理解比與比例式的差異與用途，能以符號表示兩數間關係,若 a:b = 2:3，b = 9，求 a？,比是什麼意思？｜比跟比例有什麼不同？｜怎麼寫比例式？
M70011,比例的應用與解題,能在生活中辨識並解決比例問題，包含正比與反比,兩車速度比為 3:2，若快車為 90 公里，慢車多少？,反比是什麼意思？｜比例可以怎麼應用？｜怎麼解比例式？
M70012,簡單圖形與幾何符號,介紹點、線、線段、射線、角與三角形等基本幾何符號,畫出一條射線與兩個角,什麼是射線？｜線段和直線有何不同？｜幾何符號怎麼表示？
M70013,三視圖,能辨識立體圖的前視圖、上視圖與側視圖，並進行構圖,下列哪一個是這個立方體的上視圖？,三視圖是什麼？｜怎麼從三視圖想像立體？｜哪個是上視圖？
M70014,垂直與中垂線,理解垂直的意義與表示法，並能畫出線段的中垂線,請畫出 AB 線段的中垂線,垂直是什麼？｜什麼是中垂線？｜兩線垂直代表什麼？
M70015,線對稱的性質,理解對稱線段等長、角相等，與對稱點之間的特性,判斷圖形是否為線對稱並說明理由,什麼是對稱？｜對稱點怎麼找？｜對稱有什麼特徵？
M70016,線對稱的基本圖形,能辨識對稱圖形如等腰三角形、正方形、菱形與正多邊形,下列圖形何者具對稱軸？,哪些圖形一定是對稱的？｜正多邊形會有幾條對稱軸？
M70017,代數符號與運算律,能使用代數符號表示交換律、分配律、結合律，並進行簡化與同類項合併,簡化：2x + 3x - x,什麼是代數符號？｜同類項要怎麼合併？｜分配律怎麼用？
M70018,一元一次方程式的意義,理解一元一次方程式的形式與意義，能由生活情境中列式,列出表示「某數加 5 等於 13」的方程式,一元一次方程式是什麼？｜怎麼從文字題列式？
M70019,一元一次方程式的解法與應用,能應用等量公理與移項法則解方程並代入驗算,解：3x - 5 = 10,怎麼解一元一次方程式？｜什麼時候要移項？｜驗算怎麼做？
M70020,二元一次聯立方程式的意義,理解含兩變數的聯立方程式形式與生活應用,小明買鉛筆 x 枝、橡皮 y 顆共 40 元，請列方程,聯立方程式是什麼？｜為什麼要列兩個式子？
