"id","標題","說明","例題","問法"
"S70001","公民的定義","了解何謂公民，並認識其在國家中的法律與社會角色。","什麼是公民？臺灣國民是否都是公民？","什麼是公民？｜所有人都是公民嗎？｜我什麼時候才算是公民？"
"S70002","現代公民的德性","認識現代民主社會中，公民應具備的基本德性，如尊重、責任感與參與。","為什麼誠實與守法是重要的公民德性？","什麼是公民德性？｜為什麼我們要尊重他人？｜公民德性和法律有關嗎？"
"S70003","權力與權利的區別","區分『權力』與『權利』的意涵，並了解其在民主制度中的互動。","政府有行使權力的責任，而人民有表達意見的權利。","權力和權利有什麼不同？｜政府的權力從哪裡來？｜我有權利就等於有權力嗎？"
"S70004","學生在校園中的權利","說明學生在校園中受法律保障的基本權利，以及如何實踐公民德性。","學生有表達意見的權利，也有尊重他人的責任。","我在學校有什麼權利？｜學校可以隨便處罰我嗎？｜如何在學校當一個好公民？"
"S70005","人民的法律義務","了解人民與政府如何依法擔負義務，包含學生參與校園民主的責任。","學生參加班會表達意見是履行參與義務的一種方式。","我也有法律責任嗎？｜學生也要守法律？｜參加學生會有什麼意義？"
"S70006","權責相符原則","說明國家權力應該具備可課責性，避免權力濫用對人民造成損害。","若政府違法徵地，人民可以申訴或訴訟。","政府做錯事誰來管？｜什麼是權責相符？｜怎麼知道政府有沒有亂用權力？"
"S70007","法律的位階","介紹中華民國法律體系中憲法、法律與命令的層級關係。","憲法高於法律，法律高於行政命令。","什麼是法律位階？｜憲法真的最大嗎？｜命令是不是也可以違憲？"
"S70008","法治與人治","說明法治社會與人治社會的根本差異，強調依法治理的重要性。","在法治社會，總統也要遵守法律。","什麼是法治？｜人治一定不好嗎？｜為什麼要依法行政？"
"S70009","政府與國家的區別","辨別國家與政府的不同，並理解政府是人民授權的執行機構。","臺灣是國家，行政院是政府。","政府就是國家嗎？｜人民能不能不聽政府的？｜我們怎麼選出政府？"
"S70010","家庭的社會功能","說明家庭作為基本社會組織的功能與重要性。","家庭提供情感支持與教育，是社會的基本單位。","家庭有什麼功能？｜為什麼家庭很重要？｜家庭是怎麼影響社會的？"
"S70011","原住民族的部落組織","介紹原住民族社會中的部落組織意義與功能。","在排灣族社會中，部落首領有領導與調解的責任。","什麼是部落？｜部落和家庭有什麼不同？｜部落為什麼重要？"
"S70012","法律中的親屬關係","說明中華民國法律如何界定親屬關係及其權利義務。","法律規定直系血親互有扶養義務。","親屬是怎麼定義的？｜父母一定要養我嗎？｜我需要養父母嗎？"
"S70013","家庭型態的變遷","了解家庭型態因社會變遷而產生的多元化與改變。","現代社會中有核心家庭、單親家庭與新住民家庭等。","為什麼家庭不再一樣？｜家庭型態會怎麼改變？｜社會改變和家庭有關嗎？"
"S70014","家庭中的權力與合作","探討家庭內部的權力關係與如何透過合作發揮功能。","家庭成員透過分工與協商共同維持家庭運作。","誰說了算？｜家庭裡應該怎麼分工？｜合作真的有用嗎？"
"S70015","參與團體的意義","說明個人除了家庭外，還可以如何參與其他社會團體。","加入籃球社可以培養團隊合作能力。","除了家庭我還能加入什麼？｜我為什麼要參加社團？｜參加有什麼用？"
"S70016","志願結社與公共生活","了解志願結社在民主社會中的特性與對公共生活的影響。","環保團體能促進政府重視永續議題。","什麼是志願結社？｜參加社團跟民主有關嗎？｜結社怎麼影響社會？"
"S70017","社會規範的功能","認識社會規範對維持社會秩序與行為期待的重要性。","排隊是社會規範的一種，能減少混亂。","為什麼要有規矩？｜規範真的有用嗎？｜誰決定什麼是規範？"
"S70018","法律與其他社會規範的差異","比較法律與道德、習俗等社會規範的不同特徵與約束力。","違反道德不一定違法，但違法會被處罰。","法律和道德有什麼不同？｜犯錯和犯法一樣嗎？｜為什麼違法要罰？"
"S70019","社會規範與文化","說明日常生活中的規範與文化之間的關聯。","在不同文化中打招呼的方式會影響社交規範。","文化跟規範有什麼關係？｜文化會改變我們的行為嗎？｜不同文化的規範都一樣嗎？"
"S70020","社會規範的變遷","探討社會規範會隨時間、空間與社會價值變化而調整。","對於性別角色的期待比過去更平等。","規範會變嗎？｜為什麼以前可以的現在不行了？｜不同族群的規範有差嗎？"
