id,標題,說明,例題,問法
G70001,全球經緯度座標系統,理解地球上的座標定位系統，能夠利用緯度與經度找到地點。,台灣的經緯度座標為何？,什麼是經緯度？｜經緯度要怎麼看？｜為什麼要用經緯度？｜我怎麼知道某地的經緯度？
G70002,全球海陸分布,認識世界的陸地與海洋的分布情形，了解主要大洲與大洋的位置。,地球上最大的洋是哪一個？,哪幾個是大洋？｜陸地分布有什麼規律？｜亞洲在哪裡？｜為什麼陸地都集中在北半球？
G70003,臺灣在世界的位置,了解臺灣在世界地圖中的相對與絕對位置，並能進行描述。,臺灣位在北緯23.5度、東經121度附近。,臺灣在哪裡？｜怎麼描述臺灣的位置？｜臺灣是屬於哪一洲？｜臺灣靠近哪些國家？
G70004,臺灣的鄰近地區,認識與臺灣地理上接近的地區與國家，及其相對位置與關聯。,日本位在臺灣的東北方。,臺灣旁邊是哪些國家？｜為什麼我們要學鄰近地區？｜臺灣跟中國的位置有多遠？｜臺灣靠近哪個海洋？
G70005,地圖閱讀與方位判讀,學會使用地圖閱讀與辨識方位的技巧，包括圖例、比例尺與方向。,從地圖上看出學校在火車站的東方。,怎麼看地圖？｜方位是怎麼判斷的？｜比例尺是做什麼用的？｜圖例是什麼？
G70006,地形對聚落的影響,認識地形對人類聚落分布與發展的影響。,平原地區較容易發展城市，如台北盆地。,為什麼都市多在平原？｜山上可以住人嗎？｜河邊聚落有什麼好處？｜地形會影響交通嗎？
G70007,氣候對人類活動的影響,了解不同氣候型態如何影響農業、生活與文化。,熱帶地區常種植香蕉、甘蔗等作物。,氣候怎麼影響生活？｜為什麼北部常下雨？｜哪裡最適合種稻米？｜氣候會不會改變？
G70008,人與環境的互動關係,理解人類如何因應、利用與改變自然環境。,築堤防來防洪是人類對環境的調整。,什麼是人地互動？｜人怎麼改變自然？｜環境會影響人嗎？｜為什麼要保護環境？
G70009,臺灣的區域分布,認識臺灣不同的區域劃分及各區特色。,中部以平原為主，適合農業發展。,臺灣分幾個區域？｜每個區有什麼特色？｜為什麼會有區域劃分？｜哪一區最熱？
G70010,世界地理分區與特色,了解世界主要區域的劃分方式與代表性特徵。,中南美洲多熱帶雨林氣候。,世界分哪幾區？｜亞洲有哪些特色？｜歐洲和美洲有什麼不同？｜為什麼要學區域地理？
G70011,臺灣的主要河川,了解臺灣主要河川的分布、流向及其對生活與經濟的影響。,濁水溪是臺灣最長的河川。,台灣有哪些大河？｜河流的水是往哪裡流？｜河川有什麼功能？｜河川為什麼會氾濫？
G70012,臺灣的水資源分布,認識臺灣降水特性與水資源分布的不均問題及其因應方式。,臺灣降雨多但水資源分布不均。,台灣水多嗎？｜為什麼會缺水？｜水庫是做什麼的？｜可以喝山上的水嗎？
G70013,臺灣的地形區,掌握臺灣的五大地形區：山地、丘陵、台地、盆地與平原。,嘉南平原是臺灣著名的農業區。,台灣的地形有哪幾種？｜盆地是什麼？｜哪裡適合種田？｜為什麼平原上人多？
G70014,人口分布與密度,了解臺灣人口在各地的分布情形，認識人口密度高低的影響因素。,新北市人口最多，人口密度也高。,哪裡人最多？｜為什麼都市人口多？｜高山有人住嗎？｜人口密度是怎麼算的？
G70015,人口結構與變遷,探討臺灣人口年齡、性別結構與變遷趨勢，如少子化與高齡化。,臺灣正面臨高齡化社會的挑戰。,什麼是老化社會？｜出生率為什麼變低？｜男女比例會改變嗎？｜台灣人口會變少嗎？
G70016,都市化與鄉村變遷,理解都市化過程中，臺灣鄉村與都市的空間與功能轉變。,都市擴張使得農地減少。,都市化是什麼？｜農村變成都市怎麼影響生活？｜為什麼要保留農地？｜都市和鄉村有什麼不同？
G70017,交通發展與地理環境,認識臺灣交通建設與地形、人口分布之關聯。,高鐵主要經過西部平原區。,為什麼高鐵不蓋在山上？｜哪裡交通最便利？｜為什麼東部交通比較不發達？｜高速公路和鐵路有什麼差別？
G70018,農業分布與特色,掌握臺灣農業發展的空間分布與作物類型。,台南種稻，南投種茶。,台灣哪裡種水稻？｜高山能種什麼？｜為什麼某些地方種水果？｜農業跟氣候有關嗎？
G70019,工業發展與區位,了解臺灣主要工業區的分布及其發展原因。,中科、南科是重要科技產業聚落。,為什麼工業集中在西部？｜科學園區是什麼？｜工廠都蓋在哪裡？｜工業對環境有影響嗎？
G70020,臺灣的自然災害,認識颱風、地震等自然災害在臺灣的發生原因與防災措施。,颱風季節常帶來強風豪雨。,為什麼台灣會有地震？｜颱風從哪裡來？｜要怎麼防災？｜災害來時要怎麼辦？
