"id","標題","說明","例題","問法"
"H70001","紀年與分期","了解歷史紀年的方式與歷史時期的劃分，幫助掌握歷史事件的時間脈絡。","請將下列事件按發生時間排序：甲午戰爭、臺灣光復、鄭成功來臺。","什麼是紀年？｜歷史怎麼分期？｜為什麼要學分期？｜紀年和我們生活有什麼關係？"
"H70002","史前文化與考古","透過考古遺址與出土文物，了解臺灣的史前文化與生活樣貌。","請舉出一個臺灣重要的史前文化遺址。","什麼是史前文化？｜怎麼知道古人怎麼生活？｜考古學家怎麼工作？"
"H70003","臺灣原住民族的遷徙與傳說","認識臺灣原住民族的來源、分布與文化傳說，加深對族群多元性的理解。","請列出兩個原住民族及其傳說。","原住民怎麼來到台灣的？｜每族的神話故事都一樣嗎？｜為什麼要學原住民的歷史？"
"H70004","大航海時代東亞勢力","了解十六、十七世紀東亞與臺灣的地緣政治，及歐洲殖民勢力的進入。","哪兩個歐洲國家曾在臺灣建立據點？","為什麼荷蘭人會來台灣？｜當時的台灣有什麼吸引人？｜東亞地區當時局勢如何？"
"H70005","原住民族與外來者的接觸","認識外來者與原住民族互動對社會與文化造成的影響。","描述荷蘭人與原住民族的互動情形。","外來者怎麼影響原住民？｜原住民怎麼回應這些接觸？｜文化有改變嗎？"
"H70006","清帝國統治政策","理解清帝國統治臺灣的行政與軍事措施。","清朝在臺灣設置哪三府？","清朝怎麼統治台灣？｜為什麼會設立官府？｜政策有改變嗎？"
"H70007","閩粵移民與商業發展","認識閩南與客家移民的活動，以及當時臺灣商業的興盛。","閩粵移民在臺灣經營哪些產業？","誰來台灣開墾？｜為什麼閩粵移民多？｜清代台灣有什麼重要商業？"
"H70008","原住民族社會變遷","探索清代以來原住民族在制度與社會組織上的改變。","請舉例原住民社會在清代的改變。","清朝有干涉原住民生活嗎？｜社會變遷是什麼？｜有些部落為什麼消失了？"
"H70009","漢人社會活動","認識漢人社會在臺灣的發展，包括聚落、宗教、族群互動等方面。","說明清代漢人如何建立聚落與宗族組織。","漢人來台灣做什麼？｜清代的漢人社會長什麼樣？｜族群之間有衝突嗎？"
"H70010","地方史探究","學習如何以家鄉為主題進行歷史探究，培養歷史研究與整理能力。","請以你居住的地區為例，找出一個與歷史相關的地名或建築。","怎麼進行地方史研究？｜我可以從哪裡找到家鄉的歷史？｜地方歷史和我有什麼關係？"
"H70011","歷史主題探究與發表","透過主題式或跨單元探究，進行歷史研究與口頭或書面發表訓練。","請設計一個歷史小專題，主題與清朝或日本時期臺灣有關。","可以怎麼選一個歷史主題？｜要怎麼找資料？｜我可以怎麼發表研究成果？"
"H70012","殖民統治體制建立","了解日本如何建立統治體制，改變臺灣的行政與法律制度。","日本時期設立了哪些行政制度來治理台灣？","日本怎麼統治台灣？｜制度和清朝有什麼不一樣？｜為什麼要改變法律？"
"H70013","基礎設施與產業政策","認識日本時期建設鐵路、水利等基礎設施，與相關經濟政策。","請舉出日本時期建造的一項基礎建設。","日本人為什麼要建那麼多鐵路？｜殖民政府怎麼發展經濟？｜這些建設對台灣有影響嗎？"
"H70014","「理蕃」政策與原住民族","探討日本時期對原住民族的治理政策與反抗行動。","描述霧社事件的背景與意義。","什麼是理蕃？｜為什麼原住民會反抗？｜日本人怎麼對待原住民？"
"H70015","現代教育與文化運動","了解日本時期的教育制度與文化啟蒙運動。","日本在台灣推行怎樣的教育制度？","什麼是現代教育？｜台灣人能自己辦學校嗎？｜教育政策有什麼影響？"
"H70016","都市文化的出現","認識都市在日本時期的發展，以及都市生活的改變。","舉出一個在日本時期發展的城市並說明其特色。","台灣什麼時候有都市？｜都市跟鄉下有什麼不同？｜都市化是什麼意思？"
"H70017","新舊文化的衝擊與適應","探討傳統與現代文化在日治時期的交融與衝突。","傳統節日如何受到現代觀念的影響？","什麼是文化衝擊？｜台灣人有全盤接受新文化嗎？｜有什麼文化保留下來？"
"H70018","政權轉移與中華民國統治","了解日本戰敗後政權轉移與中華民國接管台灣的歷程。","二戰後台灣是怎麼回到中國統治的？","中華民國怎麼來接收台灣？｜政權交替怎麼進行？｜人們有什麼反應？"
"H70019","二二八事件與白色恐怖","探討二二八事件及其後白色恐怖對台灣社會的影響。","說明二二八事件的原因與結果。","什麼是二二八？｜白色恐怖是什麼意思？｜這些事件對社會有什麼影響？"
"H70020","國家政策下的原住民族","認識戰後原住民族的身份變化與國家政策的關係。","戰後原住民族被稱為什麼？政策有什麼改變？","原住民族被怎麼對待？｜戰後的政策有幫助他們嗎？｜他們的權益有保障嗎？"
"H70021","兩岸關係與國際處境","分析兩岸關係變化對台灣在國際上的地位與影響。","台灣為什麼不能加入聯合國？","台灣和中國的關係怎麼演變？｜國際間怎麼看台灣？｜我們的外交困境是什麼？"
"H70022","經濟發展與結構轉型","了解戰後台灣的經濟建設與產業變遷過程。","請舉出台灣由農業轉向工業的例子。","台灣怎麼從農業國變成工業國？｜經濟奇蹟是什麼？｜我們賺錢的方式有變嗎？"
"H70023","大眾文化的演變","認識電視、電影、流行音樂等大眾文化如何影響社會生活。","請舉出一種曾經在台灣風行的大眾文化。","大眾文化是什麼？｜以前的人都看什麼電視？｜文化有什麼變化？"
"H70024","地方史探究（二）","進一步探究家鄉的歷史議題，提升對地方發展與歷史脈絡的理解。","請調查你家鄉在戰後初期的發展情形。","我可以從哪裡找到家鄉的歷史？｜怎麼做地方探究？｜要問誰？"
"H70025","主題式歷史探究與展演","從指定主題深入研究，結合史料與口述等方式進行探究與成果發表。","選擇一個與當地有關的歷史主題，設計展演方式介紹之。","歷史探究可以怎麼展演？｜要準備哪些資料？｜哪裡找歷史故事？"
"H70026","商周至隋唐的政治與社會變遷","理解中國古代從商周到唐的國家發展與社會制度演變。","說明唐代科舉制度對社會階層的影響。","古代中國怎麼統治？｜商周與唐朝有什麼不同？｜為什麼會有變化？"
"H70027","商周至隋唐的族群文化互動","認識古代中國多元民族互動與文化交流的歷程。","請說明唐代如何與外族互動。","古代也有多民族嗎？｜不同族群會打架還是交流？｜文化怎麼傳播？"
"H70028","宋元的國際互動","了解宋元時期與亞洲各地之間的政治與外交關係。","宋代與哪些國家有聯繫？","宋朝有和外國做朋友嗎？｜元朝是怎麼統治那麼多地區？｜中國古代有外交嗎？"
"H70029","宋元的商貿文化交流","探討宋元時期海陸貿易與文化的互動與發展。","元代時期對外貿易主要透過哪些路線？","宋代有外貿嗎？｜哪些商品外銷？｜文化交流是怎麼進行的？"
"H70030","明清時期的東亞變動","分析明清兩代在東亞地區的外交與戰爭、制度與社會的演變。","清初如何與朝鮮、日本互動？","明清有跟其他國家來往嗎？｜他們是朋友還是敵人？｜變動的原因是什麼？"
"H70031","明清時期的商貿文化交流","了解明清時期的海上貿易與文化影響，如鄭和下西洋、絲路貿易等。","說明明朝與東南亞的貿易情形。","鄭和為什麼要出海？｜明清時期貿易怎麼進行？｜有什麼文化交流？"
"H70032","晚清東西接觸與衝突","探討晚清時期中國與西方列強的接觸、衝突與回應。","列舉兩場影響中國的戰爭與結果。","為什麼會和西方國家打仗？｜中國怎麼回應？｜列強是誰？"
"H70033","甲午戰爭後的政治變革","認識晚清至民初面對內外壓力下的制度改革與政權轉換。","說明戊戌變法與其失敗原因。","甲午戰爭後發生什麼事？｜晚清的改革成功嗎？｜政權是怎麼轉變的？"
"H70034","都市風貌與新媒體出現","理解戰後至今都市化過程與媒體技術進步對人們生活方式的影響。","請說明電視與網路如何改變現代都市生活。","都市生活怎麼變了？｜以前的人怎麼獲得資訊？｜新媒體有什麼影響？"
"H70035","家庭與婦女角色的轉變","探討近代以來家庭結構與性別角色的改變及其社會意涵。","說明婦女在家庭與社會中的角色如何隨時代改變。","以前的家庭跟現在有什麼不同？｜婦女一直都能工作嗎？｜性別角色有什麼變化？"
"H80001","主題式歷史探究（三）","延續前次探究能力，選擇H主題進行深入研究與展演。","請以清末婦女教育為題，設計一份簡報。","主題要怎麼選？｜要做幾頁報告？｜可以訪問長輩嗎？"
"H80002","中華民國的建立","了解辛亥革命背景與中華民國成立的歷史意義。","辛亥革命的發生背景是什麼？","為什麼會推翻清朝？｜中華民國怎麼成立的？｜誰參與革命？"
"H80003","舊制度與新思潮的激盪","認識民初政治混亂與新文化運動的發展。","新文化運動主張了哪些內容？","新思潮是什麼？｜為什麼要反對舊制度？｜五四運動重要嗎？"
"H80004","現代國家的建制與發展","探討現代民主、立憲與國族概念如何建立。","請說明民初政府的制度特色。","現代國家要有什麼制度？｜誰制定法律？｜跟古代有什麼不同？"
"H80005","日本帝國的擴張與挑戰","了解日本近代化與對外侵略帶來的國際衝突。","日本為何發動侵華戰爭？","日本怎麼變強？｜為什麼會打中國？｜世界怎麼看日本？"
"H80006","中華人民共和國的建立","了解1949年中共建政過程與其背景。","國共內戰的結果是什麼？","共產黨怎麼掌握政權？｜為什麼中華民國退到台灣？｜新中國是怎麼建立的？"
"H80007","中共建政後的發展","認識建國初期的政策與社會改造運動。","請說明大躍進的內容與影響。","什麼是人民公社？｜毛澤東推動了哪些政策？｜影響大嗎？"
"H80008","冷戰時期東亞的競合","了解東亞國家在冷戰體系下的政治與外交互動。","請舉例冷戰時期東亞兩國的對立情況。","什麼是冷戰？｜東亞有哪些陣營？｜為什麼會有對抗？"
"H80009","國際組織的發展與影響","認識東南亞與全球國際組織對地區穩定與合作的影響。","請說明聯合國或東協的角色。","什麼是聯合國？｜區域組織做什麼？｜為什麼各國要合作？"
"H80010","主題式歷史探究（四）","從K或L主題挑選合適課題，進行獨立或小組歷史專題製作。","研究民初軍閥割據時期，完成一份報告。","可以做現代的主題嗎？｜小組分工要注意什麼？｜怎麼找史料？"
"H80011","非洲與西亞的早期文化","了解非洲尼羅河流域與西亞兩河流域的古文明。","請舉出一項古埃及的科學成就。","古代非洲有什麼文明？｜金字塔怎麼蓋的？｜兩河是什麼意思？"
"H80012","希臘、羅馬的政治與文化","認識歐洲古代民主制度與哲學、美術等文化遺產。","希臘城邦的政治特色為何？","羅馬怎麼統治帝國？｜古代民主跟現在有關係嗎？｜奧林匹克是哪裡來的？"
"H80013","佛教的起源與發展","了解佛教在印度的創立及其基本教義。","釋迦牟尼是誰？他主張什麼？","佛教怎麼開始的？｜和印度教一樣嗎？｜有幾種佛教？"
"H80014","基督教的起源與發展","探討基督教如何從猶太教分支並成為世界宗教。","基督教如何傳入羅馬帝國？","耶穌是誰？｜基督教和天主教一樣嗎？｜聖經內容是什麼？"
"H80015","伊斯蘭教的起源與發展","認識穆罕默德創教背景與伊斯蘭文明的發展。","伊斯蘭教有哪些基本信仰？","什麼是可蘭經？｜伊斯蘭教和阿拉伯有關嗎？｜信徒需要做什麼？"
"H80016","文藝復興","了解歐洲中古晚期興起的文化復興運動與其影響。","請舉出一位文藝復興的重要人物。","文藝復興是什麼？｜為什麼叫文藝“復興”？｜有哪些改變了歐洲？"
"H80017","宗教改革","認識馬丁路德等人挑戰教會，帶來的信仰與社會變革。","宗教改革有哪些重要結果？","誰挑戰了教皇？｜新教是怎麼出現的？｜有戰爭嗎？"
"H80018","科學革命與啟蒙運動","探討近代歐洲思想轉變對政治、經濟與社會的影響。","牛頓與伏爾泰的貢獻為何？","為什麼要懷疑傳統？｜現代自由主義從哪裡來？｜天文學怎麼發展？"
"H80019","歐洲的海外探索與擴張","了解近代歐洲國家如何進行探險、殖民與貿易活動。","哪個國家最早到達亞洲？","為什麼要去別的地方？｜有什麼收穫？｜被殖民的國家怎麼辦？"
"H80020","亞洲與非洲的政經文化變化","認識殖民統治對當地文化、政治與經濟的影響。","印度如何受到英國殖民的影響？","被殖民會發生什麼事？｜當地文化會消失嗎？｜有反抗運動嗎？"
"H80021","近代歐亞交流","探討近代東亞與歐洲之間的互動與其歷史意涵。","鴉片戰爭是怎麼發生的？","中國為什麼輸？｜西方怎麼進入東亞？｜這段歷史為什麼重要？"
"H90001","主題式歷史探究（五）","延續歷史探究能力，從N或O單元選擇課題進行歷史資料整理與發表。","請以近代歐洲啟蒙思想為主題進行探究。","主題可以選自己有興趣的嗎？｜要找哪些資料？｜探究報告怎麼呈現？"
"H90002","美國與法國革命","了解美國獨立與法國革命對現代民主制度的影響。","請說明美國革命與法國革命的共同點。","兩個革命有什麼不同？｜為什麼要推翻國王？｜革命後有變好嗎？"
"H90003","工業革命與社會變遷","探討工業革命對生產方式、階級與生活型態的改變。","工業革命如何影響人們的生活？","什麼是工業革命？｜誰最先工業化？｜有什麼社會問題？"
"H90004","民族主義與建國運動","認識十九世紀民族主義的興起與各國建國歷程。","請舉出義大利或德國統一的關鍵人物。","什麼是民族主義？｜國家是怎麼統一的？｜跟殖民有關嗎？"
"H90005","歐洲帝國的擴張","了解帝國主義背景與殖民行動，分析其動機與影響。","英國如何建立日不落帝國？","為什麼歐洲要到處殖民？｜對當地有什麼影響？｜殖民和現代有關係嗎？"
"H90006","亞非美的發展與回應","探討亞非美洲地區對帝國主義與殖民的回應與發展。","請舉例說明印度或非洲的反殖民行動。","亞非地區怎麼反抗殖民？｜拉丁美洲也被殖民嗎？｜為什麼要爭取獨立？"
"H90007","第一次世界大戰","了解第一次世界大戰的背景、過程與結果。","一戰的導火線是什麼？","為什麼會爆發第一次世界大戰？｜參戰國有哪些？｜戰爭對世界有什麼影響？"
"H90008","戰間期的世界局勢","分析兩次世界大戰之間的經濟與政治發展。","請說明經濟大恐慌對世界的影響。","兩次世界大戰中間發生了什麼？｜有沒有好轉？｜為什麼會有極權政府興起？"
"H90009","第二次世界大戰","認識二戰爆發的原因、經過與戰後局勢。","請簡述德國入侵波蘭與二戰的關係。","二戰怎麼開始的？｜哪些國家參與？｜結果如何？"
"H90010","戰後世界的轉型","探討戰後世界由極權對立走向多元合作的過程。","請說明聯合國成立的目的。","戰爭結束後世界變怎樣？｜冷戰和戰後有關嗎？｜有哪些國際合作組織？"
"H90011","主題式歷史探究（六）","從Q單元挑選課題進行深入研究，並規劃成果展演。","請設計一份以冷戰為主題的小組報告提綱。","可以做當代歷史嗎？｜冷戰資料哪裡找？｜要包含哪些內容？"
"H90012","性別觀點下的歷史","了解歷史書寫中性別角色的展現與女性被忽略的情形，學習用多元視角看待歷史。","請舉出歷史上被忽略但有貢獻的女性人物。","為什麼歷史課本都寫男性？｜女性有參與歷史事件嗎？｜誰決定怎麼寫歷史？"
"H90013","歷史記憶與族群觀點","探討同一歷史事件在不同族群或社群間的記憶與詮釋差異。","請舉例說明二二八事件在不同族群中有何不同的歷史記憶。","為什麼大家記得同一件事卻不一樣？｜記憶和歷史一樣嗎？｜族群影響我們怎麼看歷史嗎？"
"H90014","媒體與歷史的互動","認識媒體與科技如何改變人們對歷史的理解與傳播方式。","請說明網路或社群媒體如何改變我們對某一歷史事件的看法。","網路上的歷史正確嗎？｜影片可以當歷史證據嗎？｜科技怎麼影響我們學歷史？"
"H90015","在地歷史與全球脈絡","培養從地方出發連結全球歷史脈絡的能力，理解台灣歷史在世界中的位置。","請舉例說明台灣在大航海時代中的地理與戰略角色。","台灣歷史跟世界有關嗎？｜我們的歷史是怎麼被記錄在世界裡的？｜世界事件會影響台灣嗎？"
